"Molecule.ChEMBL.ID","Smiles","Standard.Value"
"CHEMBL3746458","CC(C)C[C@H]1c2[nH]c3ccccc3c2C[C@H]2C(=O)N[C@@H](CCC(=O)OC(C)(C)C)C(=O)N21",0.23
"CHEMBL3747767","CC(C)C[C@H]1c2[nH]c3ccccc3c2C[C@H]2C(=O)N[C@@H](CCC(=O)O)C(=O)N21",0.23
"CHEMBL3747380","CC(C)C[C@H]1c2[nH]c3ccccc3c2C[C@H]2C(=O)N[C@@H](CCC(=O)NC(C)(C)C)C(=O)N21",0.23
"CHEMBL4172744","O=[N+]([O-])c1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1",0.236
"CHEMBL2331720","COCCOCCOCCOc1cc2c(cc1OC)CN(Cc1ccc(-c3ccc(C(=O)OC)c(NC(=O)c4ccc5ncccc5c4)c3)cc1)CC2",0.237
"CHEMBL4077346","COc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1",0.238
"CHEMBL3092487","COc1ccc(-c2nc(Nc3cccc(C(F)(F)F)c3)c3ccccc3n2)cc1OC",0.24
"CHEMBL4083491","O=[N+]([O-])c1cc(Nc2nc(-c3cccnc3)nc3ccccc23)ccc1O",0.245
"CHEMBL2158542","FC(F)(F)c1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1",0.25
"CHEMBL3110299","O=C(NCc1cn(CCc2c[nH]c3ccccc23)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1",0.25
"CHEMBL4203580","O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)c1ccc2c(c1)OCO2",0.259
"CHEMBL406837","COc1cccc(/C=C/C(=O)c2c(O)cc(OC)cc2OC)c1",0.26
"CHEMBL3092489","COc1ccc(-c2nc(Nc3ccccc3O)c3ccccc3n2)cc1OC",0.26
"CHEMBL3426386","COc1ccccc1-n1nnc(-c2ccccc2NC(=O)c2ccc([N+](=O)[O-])cc2)n1",0.261
"CHEMBL4072305","COc1cccc(-c2nc(Nc3cccc(F)c3)c3cccnc3n2)c1",0.264
"CHEMBL3883387","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccccc3[N+](=O)[O-])n2)cc1",0.266
"CHEMBL4202490","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3cccc4ccccc34)n2)cc1",0.267
"CHEMBL3426396","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(C(F)(F)F)cc3)n2)cc1OC",0.269
"CHEMBL1834565","COc1cccc(OC)c1/C=C/C(=O)c1cn(C)c2ccccc12",0.27
"CHEMBL3238340","COc1cc(OC)cc(C(=O)/C=C/c2ccc(/C=C/C(=O)c3cc(OC)cc(OC)c3)cc2)c1",0.27
"CHEMBL4215260","O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)c1cccs1",0.27
"CHEMBL4077632","COc1cccc(Nc2cc(C)nc(-c3ccncc3)n2)c1",0.271
"CHEMBL3883389","O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)c1ccccc1[N+](=O)[O-]",0.28
"CHEMBL4091036","COc1cccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(NC(=O)CBr)cc3)n2)c1",0.283
"CHEMBL4171799","Nc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1",0.284
"CHEMBL4214686","O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)C1CCCCC1",0.287
"CHEMBL4207415","O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)c1ccncc1",0.287
"CHEMBL3110289","COc1ccc2c(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c[nH]c2c1",0.29
"CHEMBL3092482","COc1ccc(-c2nc(Nc3cccc(Br)c3)c3ccccc3n2)cc1OC",0.29
